Country,Pop20,Area,VetsStaff,VpC,Vdens,Name,LogPop,LogArea,LogVS
Afghanistan,38928346,652860,3596,9.24E-05,0.005508072,Afghanistan,7.590265952,5.814820061,3.555819683
Albania,2877797,27400,750,0.000260616,0.027372263,.,6.459060156,4.437750563,2.875061263
Andorra,77265,470,31,0.000401217,0.065957447,.,4.887982809,2.672097858,1.491361694
Angola,32866272,1246700,499,1.52E-05,0.000400257,Angola,7.516750445,6.095761959,2.698100546
ArgentiNA,45195774,2736690,30266,0.000669664,0.011059345,Argentina,7.655097828,6.437225605,4.480955028
Armenia,2963243,28470,1249,0.000421498,0.043870741,.,6.471767267,4.454387467,3.096562438
Australia,25499884,7682300,14495,0.000568434,0.001886805,.,7.406538205,6.885491263,4.16121822
Austria,9006398,82409,212,2.35E-05,0.002572535,Austria,6.954551135,4.915974644,2.326335861
Azerbaijan,10139177,82658,3848,0.000379518,0.046553268,.,7.006002705,4.917284893,3.585235063
Bahamas,393244,10010,121,0.000307697,0.012087912,.,5.594662105,4.000434077,2.08278537
Bahrain,1701575,760,189,0.000111074,0.248684211,.,6.230851096,2.880813592,2.276461804
Bangladesh,164689383,130170,28838,0.000175105,0.221541062,.,8.216665602,5.114510905,4.459965137
Barbados,287375,430,58,0.000201827,0.134883721,Barbados,5.458448984,2.633468456,1.763427994
Belgium,11589623,30280,6129,0.000528835,0.202410832,Belgium,7.064069309,4.481155871,3.787389621
Belize,397628,22810,56,0.000140835,0.002455064,Belize,5.599476959,4.358125285,1.748188027
Benin,12123200,112760,553,4.56E-05,0.004904221,Benin,7.08361727,5.052155067,2.742725131
Bhutan,771608,38117,811,0.001051052,0.021276596,Bhutan,5.887396722,4.581118712,2.909020854
Bolivia,11673021,1083300,13491,0.001155742,0.012453614,Bolivia,7.067183267,6.034748743,4.130044142
BosniaHerzegoviNA,3280819,51000,1099,0.000334977,0.02154902,.,6.515982271,4.707570176,3.040997692
BotswaNA,2351627,566730,732,0.000311274,0.00129162,.,6.371368438,5.753376203,2.864511081
Brazil,212559417,8358140,125891,0.000592263,0.015062083,Brazil,8.32748035,6.922109641,5.099994683
Brunei,437479,5270,109,0.000249155,0.020683112,.,5.640957211,3.721810615,2.037426498
